time_utc,lmp_da,lmp_rt
2024-06-24 16:59:08+00:00,10.0,0.0
2024-06-24 17:04:08+00:00,10.0,1.0416666666666667
2024-06-24 17:09:08+00:00,10.0,2.0833333333333335
2024-06-24 17:14:08+00:00,10.0,3.125
2024-06-24 17:19:08+00:00,10.0,4.166666666666667
2024-06-24 17:24:08+00:00,10.0,5.208333333333334
2024-06-24 17:29:08+00:00,10.0,6.25
2024-06-24 17:34:08+00:00,10.0,7.291666666666667
2024-06-24 17:39:08+00:00,10.0,8.333333333333334
2024-06-24 17:44:08+00:00,10.0,9.375
2024-06-24 17:49:08+00:00,10.0,10.416666666666668
2024-06-24 17:54:08+00:00,10.0,11.458333333333334
2024-06-24 17:59:08+00:00,10.0,12.5
2024-06-24 18:04:08+00:00,10.0,13.541666666666668
2024-06-24 18:09:08+00:00,10.0,14.583333333333334
2024-06-24 18:14:08+00:00,10.0,15.625000000000002
2024-06-24 18:19:08+00:00,10.0,16.666666666666668
2024-06-24 18:24:08+00:00,10.0,17.708333333333336
2024-06-24 18:29:08+00:00,10.0,18.75
2024-06-24 18:34:08+00:00,10.0,19.791666666666668
2024-06-24 18:39:08+00:00,10.0,20.833333333333336
2024-06-24 18:44:08+00:00,10.0,21.875
2024-06-24 18:49:08+00:00,10.0,22.916666666666668
2024-06-24 18:54:08+00:00,10.0,23.958333333333336
2024-06-24 18:59:08+00:00,10.0,25.0
2024-06-24 19:04:08+00:00,10.0,26.041666666666668
2024-06-24 19:09:08+00:00,10.0,27.083333333333336
2024-06-24 19:14:08+00:00,10.0,28.125000000000004
2024-06-24 19:19:08+00:00,10.0,29.166666666666668
2024-06-24 19:24:08+00:00,10.0,30.208333333333336
2024-06-24 19:29:08+00:00,10.0,31.250000000000004
2024-06-24 19:34:08+00:00,10.0,32.29166666666667
2024-06-24 19:39:08+00:00,10.0,33.333333333333336
2024-06-24 19:44:08+00:00,10.0,34.375
2024-06-24 19:49:08+00:00,10.0,35.41666666666667
2024-06-24 19:54:08+00:00,10.0,36.458333333333336
2024-06-24 19:59:08+00:00,10.0,37.5
2024-06-24 20:04:08+00:00,10.0,38.54166666666667
2024-06-24 20:09:08+00:00,10.0,39.583333333333336
2024-06-24 20:14:08+00:00,10.0,40.625
2024-06-24 20:19:08+00:00,10.0,41.66666666666667
2024-06-24 20:24:08+00:00,10.0,42.708333333333336
2024-06-24 20:29:08+00:00,10.0,43.75
2024-06-24 20:34:08+00:00,10.0,44.79166666666667
2024-06-24 20:39:08+00:00,10.0,45.833333333333336
2024-06-24 20:44:08+00:00,10.0,46.875
2024-06-24 20:49:08+00:00,10.0,47.91666666666667
2024-06-24 20:54:08+00:00,10.0,48.958333333333336
2024-06-24 20:59:08+00:00,10.0,50.0
